"","msa.fips","year","wage.and.salary.employment"
"new.row.152","17980",1986,126540
"new.row.153","17980",1987,129778
"new.row.154","17980",1988,131557
"new.row.155","17980",1989,130198
"new.row.156","17980",1990,128970
"new.row.157","17980",1991,125068
"new.row.158","17980",1992,128333
"new.row.159","17980",1993,129889
"new.row.160","17980",1994,131500
"new.row.161","17980",1995,132805
"new.row.162","17980",1996,137364
"new.row.163","17980",1997,141471
"new.row.164","17980",1998,146334
"new.row.165","17980",1999,147245
"new.row.166","17980",2000,148843
"new.row.167","17980",2001,145479
"new.row.168","17980",2002,142926
"new.row.169","17980",2003,141665
"new.row.170","17980",2004,143114
"new.row.171","17980",2005,144593
"new.row.172","17980",2006,146065
"new.row.173","17980",2007,144462
"new.row.174","17980",2008,146148
"new.row.175","17980",2009,142937
"new.row.176","17980",2010,142445
"new.row.177","17980",2011,144873
"new.row.178","17980",2012,147398
"new.row.179","17980",2013,148015
"new.row.180","19300",1969,14886
"new.row.181","19300",1970,14713
"new.row.182","19300",1971,15157
"new.row.183","19300",1972,16008
"new.row.184","19300",1973,17223
"new.row.185","19300",1974,17672
"new.row.186","19300",1975,18252
"new.row.187","19300",1976,19218
"new.row.188","19300",1977,20251
"new.row.189","19300",1978,20176
"new.row.190","19300",1979,20573
"new.row.191","19300",1980,20219
"new.row.192","19300",1981,21210
"new.row.193","19300",1982,21465
"new.row.194","19300",1983,22633
"new.row.195","19300",1984,24368
"new.row.196","19300",1985,25190
"new.row.197","19300",1986,25765
"new.row.198","19300",1987,27281
"new.row.199","19300",1988,28176
"new.row.200","19300",1989,29433
"new.row.201","19300",1990,30727
"new.row.202","19300",1991,32062
"new.row.203","19300",1992,33582
"new.row.204","19300",1993,35687
"new.row.205","19300",1994,38556
"new.row.206","19300",1995,41599
"new.row.207","19300",1996,43278
"new.row.208","19300",1997,46135
"new.row.209","19300",1998,49430
"new.row.210","19300",1999,51984
"new.row.211","19300",2000,53281
"new.row.212","19300",2001,53717
"new.row.213","19300",2002,54545
"new.row.214","19300",2003,56242
"new.row.215","19300",2004,58666
"new.row.216","19300",2005,61476
"new.row.217","19300",2006,64927
"new.row.218","19300",2007,68394
"new.row.219","19300",2008,68450
"new.row.220","19300",2009,65064
"new.row.221","19300",2010,63941
"new.row.222","19300",2011,65595
"new.row.223","19300",2012,66549
"new.row.224","19300",2013,68628
"new.row.225","19460",1969,32488
"new.row.226","19460",1970,34358
"new.row.227","19460",1971,33567
"new.row.228","19460",1972,34580
"new.row.229","19460",1973,36438
"new.row.230","19460",1974,38279
"new.row.231","19460",1975,38657
"new.row.232","19460",1976,38937
"new.row.233","19460",1977,40988
"new.row.234","19460",1978,43795
"new.row.235","19460",1979,45066
"new.row.236","19460",1980,42647
"new.row.237","19460",1981,42583
"new.row.238","19460",1982,41197
"new.row.239","19460",1983,41564
"new.row.240","19460",1984,43735
"new.row.241","19460",1985,44739
"new.row.242","19460",1986,45428
"new.row.243","19460",1987,46991
"new.row.244","19460",1988,48835
"new.row.245","19460",1989,50792
"new.row.246","19460",1990,53198
"new.row.247","19460",1991,53288
"new.row.248","19460",1992,53013
"new.row.249","19460",1993,54134
"new.row.250","19460",1994,54482
"new.row.251","19460",1995,56394
"new.row.252","19460",1996,56925
"new.row.253","19460",1997,58152
"new.row.254","19460",1998,60397
"new.row.255","19460",1999,61165
"new.row.256","19460",2000,61554
"new.row.257","19460",2001,61049
"new.row.258","19460",2002,58820
"new.row.259","19460",2003,57435
"new.row.260","19460",2004,58892
"new.row.261","19460",2005,58942
"new.row.262","19460",2006,59154
"new.row.263","19460",2007,60240
"new.row.264","19460",2008,59751
"new.row.265","19460",2009,55767
"new.row.266","19460",2010,55353
"new.row.267","19460",2011,55952
"new.row.268","19460",2012,55962
"new.row.269","19460",2013,56130
"new.row.270","20020",1969,31013
"new.row.271","20020",1970,31946
"new.row.272","20020",1971,33243
"new.row.273","20020",1972,35464
"new.row.274","20020",1973,39323
"new.row.275","20020",1974,41011
"new.row.276","20020",1975,39954
"new.row.277","20020",1976,42109
"new.row.278","20020",1977,43994
"new.row.279","20020",1978,45700
"new.row.280","20020",1979,45765
"new.row.281","20020",1980,46776
"new.row.282","20020",1981,46198
"new.row.283","20020",1982,44146
"new.row.284","20020",1983,44237
"new.row.285","20020",1984,45933
"new.row.286","20020",1985,46718
"new.row.287","20020",1986,48193
"new.row.288","20020",1987,50458
"new.row.289","20020",1988,52269
"new.row.290","20020",1989,55369
"new.row.291","20020",1990,56804
"new.row.292","20020",1991,57212
"new.row.293","20020",1992,58253
"new.row.294","20020",1993,58388
"new.row.295","20020",1994,59162
"new.row.296","20020",1995,60580
"new.row.297","20020",1996,61228
"new.row.298","20020",1997,63010
"new.row.299","20020",1998,63394
"new.row.300","20020",1999,63443
"new.row.301","20020",2000,62996
"new.row.302","20020",2001,61625
"new.row.303","20020",2002,61175
"new.row.304","20020",2003,61883
"new.row.305","20020",2004,63409
"new.row.306","20020",2005,64437
"new.row.307","20020",2006,65331
"new.row.308","20020",2007,66029
"new.row.309","20020",2008,64460
"new.row.310","20020",2009,61115
"new.row.311","20020",2010,59867
"new.row.312","20020",2011,59735
"new.row.313","20020",2012,59609
"new.row.314","20020",2013,59524
"new.row.315","22520",1969,39359
"new.row.316","22520",1970,38866
"new.row.317","22520",1971,39479
"new.row.318","22520",1972,41425
"new.row.319","22520",1973,42610
"new.row.320","22520",1974,43744
"new.row.321","22520",1975,42468
"new.row.322","22520",1976,44737
"new.row.323","22520",1977,46885
"new.row.324","22520",1978,49850
"new.row.325","22520",1979,50197
"new.row.326","22520",1980,49359
"new.row.327","22520",1981,47738
"new.row.328","22520",1982,46221
"new.row.329","22520",1983,46336
"new.row.330","22520",1984,47656
"new.row.331","22520",1985,47563
"new.row.332","22520",1986,47501
"new.row.333","22520",1987,48986
"new.row.334","22520",1988,50674
"new.row.335","22520",1989,52240
"new.row.336","22520",1990,54027
"new.row.337","22520",1991,55249
"new.row.338","22520",1992,55974
"new.row.339","22520",1993,57301
"new.row.340","22520",1994,58442
"new.row.341","22520",1995,60818
"new.row.342","22520",1996,61153
"new.row.343","22520",1997,60909
"new.row.344","22520",1998,59194
"new.row.345","22520",1999,58645
"new.row.346","22520",2000,58707
"new.row.347","22520",2001,57015
"new.row.348","22520",2002,54542
"new.row.349","22520",2003,53859
"new.row.350","22520",2004,55016
"new.row.351","22520",2005,56677
"new.row.352","22520",2006,58972
"new.row.353","22520",2007,59265
"new.row.354","22520",2008,58011
"new.row.355","22520",2009,56372
"new.row.356","22520",2010,56332
"new.row.357","22520",2011,56487
"new.row.358","22520",2012,56456
"new.row.359","22520",2013,56670
"new.row.360","23460",1969,31904
"new.row.361","23460",1970,30632
"new.row.362","23460",1971,30720
"new.row.363","23460",1972,31195
"new.row.364","23460",1973,32418
"new.row.365","23460",1974,32275
"new.row.366","23460",1975,31565
"new.row.367","23460",1976,31540
"new.row.368","23460",1977,33858
"new.row.369","23460",1978,35666
"new.row.370","23460",1979,36746
"new.row.371","23460",1980,35795
"new.row.372","23460",1981,35194
"new.row.373","23460",1982,33104
"new.row.374","23460",1983,32936
"new.row.375","23460",1984,34424
"new.row.376","23460",1985,34813
"new.row.377","23460",1986,34657
"new.row.378","23460",1987,35313
"new.row.379","23460",1988,35994
"new.row.380","23460",1989,36725
"new.row.381","23460",1990,36557
"new.row.382","23460",1991,36630
"new.row.383","23460",1992,37297
"new.row.384","23460",1993,38459
"new.row.385","23460",1994,39079
"new.row.386","23460",1995,39863
"new.row.387","23460",1996,40288
"new.row.388","23460",1997,40773
"new.row.389","23460",1998,41344
"new.row.390","23460",1999,40682
"new.row.391","23460",2000,40840
"new.row.392","23460",2001,39337
"new.row.393","23460",2002,39845
"new.row.394","23460",2003,38839
"new.row.395","23460",2004,39790
"new.row.396","23460",2005,40227
"new.row.397","23460",2006,39912
"new.row.398","23460",2007,39180
"new.row.399","23460",2008,39056
"new.row.400","23460",2009,36673
"new.row.401","23460",2010,36605
"new.row.402","23460",2011,37053
"new.row.403","23460",2012,37459
"new.row.404","23460",2013,37498
"new.row.405","26620",1969,96425
"new.row.406","26620",1970,96240
"new.row.407","26620",1971,94993
"new.row.408","26620",1972,97437
"new.row.409","26620",1973,98799
"new.row.410","26620",1974,99387
"new.row.411","26620",1975,97115
"new.row.412","26620",1976,100195
"new.row.413","26620",1977,105739
"new.row.414","26620",1978,111724
"new.row.415","26620",1979,112433
"new.row.416","26620",1980,112084
"new.row.417","26620",1981,114389
"new.row.418","26620",1982,116377
"new.row.419","26620",1983,123378
"new.row.420","26620",1984,132265
"new.row.421","26620",1985,140520
"new.row.422","26620",1986,146366
"new.row.423","26620",1987,153922
"new.row.424","26620",1988,160287
"new.row.425","26620",1989,164885
"new.row.426","26620",1990,168991
"new.row.427","26620",1991,168302
"new.row.428","26620",1992,171544
"new.row.429","26620",1993,173569
"new.row.430","26620",1994,171184
"new.row.431","26620",1995,173512
"new.row.432","26620",1996,176058
"new.row.433","26620",1997,180139
"new.row.434","26620",1998,184843
"new.row.435","26620",1999,187715
"new.row.436","26620",2000,192007
"new.row.437","26620",2001,194329
"new.row.438","26620",2002,193389
"new.row.439","26620",2003,196493
"new.row.440","26620",2004,201566
"new.row.441","26620",2005,206258
"new.row.442","26620",2006,212303
"new.row.443","26620",2007,219365
"new.row.444","26620",2008,223070
"new.row.445","26620",2009,218249
"new.row.446","26620",2010,217248
"new.row.447","26620",2011,216896
"new.row.448","26620",2012,218009
"new.row.449","26620",2013,221555
"new.row.450","33660",1969,109213
"new.row.451","33660",1970,109066
"new.row.452","33660",1971,108486
"new.row.453","33660",1972,111919
"new.row.454","33660",1973,118495
"new.row.455","33660",1974,122675
"new.row.456","33660",1975,125341
"new.row.457","33660",1976,130538
"new.row.458","33660",1977,136254
"new.row.459","33660",1978,143487
"new.row.460","33660",1979,143678
"new.row.461","33660",1980,147908
"new.row.462","33660",1981,147987
"new.row.463","33660",1982,140952
"new.row.464","33660",1983,138173
"new.row.465","33660",1984,143306
"new.row.466","33660",1985,147173
"new.row.467","33660",1986,146859
"new.row.468","33660",1987,149092
"new.row.469","33660",1988,152150
"new.row.470","33660",1989,155477
"new.row.471","33660",1990,158969
"new.row.472","33660",1991,164886
"new.row.473","33660",1992,168801
"new.row.474","33660",1993,174173
"new.row.475","33660",1994,176410
"new.row.476","33660",1995,178432
"new.row.477","33660",1996,181429
"new.row.478","33660",1997,185767
"new.row.479","33660",1998,188750
"new.row.480","33660",1999,187878
"new.row.481","33660",2000,187727
"new.row.482","33660",2001,185296
"new.row.483","33660",2002,182640
"new.row.484","33660",2003,180122
"new.row.485","33660",2004,180344
"new.row.486","33660",2005,184710
"new.row.487","33660",2006,188915
"new.row.488","33660",2007,192585
"new.row.489","33660",2008,193569
"new.row.490","33660",2009,184305
"new.row.491","33660",2010,183583
"new.row.492","33660",2011,182558
"new.row.493","33660",2012,180971
"new.row.494","33660",2013,180890
"new.row.495","33860",1969,97754
"new.row.496","33860",1970,97718
"new.row.497","33860",1971,100186
"new.row.498","33860",1972,105958
"new.row.499","33860",1973,110726
"new.row.500","33860",1974,112327
"new.row.501","33860",1975,110655
"new.row.502","33860",1976,113035
"new.row.503","33860",1977,117535
"new.row.504","33860",1978,123182
"new.row.505","33860",1979,126137
"new.row.506","33860",1980,125228
"new.row.507","33860",1981,122869
"new.row.508","33860",1982,120508
"new.row.509","33860",1983,124315
"new.row.510","33860",1984,129490
"new.row.511","33860",1985,132600
"new.row.512","33860",1986,137230
"new.row.513","33860",1987,141739
"new.row.514","33860",1988,146587
"new.row.515","33860",1989,149376
"new.row.516","33860",1990,149990
"new.row.517","33860",1991,149344
"new.row.518","33860",1992,153692
"new.row.519","33860",1993,157419
"new.row.520","33860",1994,160899
"new.row.521","33860",1995,165389
"new.row.522","33860",1996,168216
"new.row.523","33860",1997,171605
"new.row.524","33860",1998,175528
"new.row.525","33860",1999,178319
"new.row.526","33860",2000,178702
"new.row.527","33860",2001,178471
"new.row.528","33860",2002,177429
"new.row.529","33860",2003,177785
"new.row.530","33860",2004,180259
"new.row.531","33860",2005,184006
"new.row.532","33860",2006,187761
"new.row.533","33860",2007,190807
"new.row.534","33860",2008,188800
"new.row.535","33860",2009,181051
"new.row.536","33860",2010,177701
"new.row.537","33860",2011,175796
"new.row.538","33860",2012,175483
"new.row.539","33860",2013,176533
"new.row.540","46220",1969,50351
"new.row.541","46220",1970,50959
"new.row.542","46220",1971,52657
"new.row.543","46220",1972,55166
"new.row.544","46220",1973,57432
"new.row.545","46220",1974,57711
"new.row.546","46220",1975,56813
"new.row.547","46220",1976,58252
"new.row.548","46220",1977,60303
"new.row.549","46220",1978,59893
"new.row.550","46220",1979,60965
"new.row.551","46220",1980,60084
"new.row.552","46220",1981,60253
"new.row.553","46220",1982,59076
"new.row.554","46220",1983,59084
"new.row.555","46220",1984,61260
"new.row.556","46220",1985,62494
"new.row.557","46220",1986,64971
"new.row.558","46220",1987,68025
"new.row.559","46220",1988,70680
"new.row.560","46220",1989,73463
"new.row.561","46220",1990,76885
"new.row.562","46220",1991,76411
"new.row.563","46220",1992,76998
"new.row.564","46220",1993,80006
"new.row.565","46220",1994,82282
"new.row.566","46220",1995,83987
"new.row.567","46220",1996,86047
"new.row.568","46220",1997,88963
"new.row.569","46220",1998,91519
"new.row.570","46220",1999,92331
"new.row.571","46220",2000,92564
"new.row.572","46220",2001,92664
"new.row.573","46220",2002,93357
"new.row.574","46220",2003,93180
"new.row.575","46220",2004,95151
"new.row.576","46220",2005,98105
"new.row.577","46220",2006,102054
"new.row.578","46220",2007,103883
"new.row.579","46220",2008,103080
"new.row.580","46220",2009,98128
"new.row.581","46220",2010,97794
"new.row.582","46220",2011,98725
"new.row.583","46220",2012,100204
"new.row.584","46220",2013,101137
"new.row.585","11260",1969,61062
"new.row.586","11260",1970,63463
"new.row.587","11260",1971,65294
"new.row.588","11260",1972,68271
"new.row.589","11260",1973,71544
"new.row.590","11260",1974,79698
"new.row.591","11260",1975,90898
"new.row.592","11260",1976,94717
"new.row.593","11260",1977,97219
"new.row.594","11260",1978,96849
"new.row.595","11260",1979,96824
"new.row.596","11260",1980,98065
"new.row.597","11260",1981,104919
"new.row.598","11260",1982,115843
"new.row.599","11260",1983,124276
"new.row.600","11260",1984,131565
"new.row.601","11260",1985,135252
"new.row.602","11260",1986,130098
"new.row.603","11260",1987,123182
"new.row.604","11260",1988,122088
"new.row.605","11260",1989,126832
"new.row.606","11260",1990,134296
"new.row.607","11260",1991,137435
"new.row.608","11260",1992,139435
"new.row.609","11260",1993,143247
"new.row.610","11260",1994,146029
"new.row.611","11260",1995,145668
"new.row.612","11260",1996,146001
"new.row.613","11260",1997,149301
"new.row.614","11260",1998,153732
"new.row.615","11260",1999,155691
"new.row.616","11260",2000,159200
"new.row.617","11260",2001,163928
"new.row.618","11260",2002,168119
"new.row.619","11260",2003,171380
"new.row.620","11260",2004,174902
"new.row.621","11260",2005,178586
"new.row.622","11260",2006,182768
"new.row.623","11260",2007,184366
"new.row.624","11260",2008,187087
"new.row.625","11260",2009,187605
"new.row.626","11260",2010,187721
"new.row.627","11260",2011,190328
"new.row.628","11260",2012,195113
"new.row.629","11260",2013,196314
"new.row.630","21820",1969,21720
"new.row.631","21820",1970,22207
"new.row.632","21820",1971,21657
"new.row.633","21820",1972,21902
"new.row.634","21820",1973,21425
"new.row.635","21820",1974,26176
"new.row.636","21820",1975,35304
"new.row.637","21820",1976,33671
"new.row.638","21820",1977,30868
"new.row.639","21820",1978,28343
"new.row.640","21820",1979,28019
"new.row.641","21820",1980,27637
"new.row.642","21820",1981,29211
"new.row.643","21820",1982,32106
"new.row.644","21820",1983,33278
"new.row.645","21820",1984,35139
"new.row.646","21820",1985,36538
"new.row.647","21820",1986,34645
"new.row.648","21820",1987,33704
"new.row.649","21820",1988,34635
"new.row.650","21820",1989,35616
"new.row.651","21820",1990,36110
"new.row.652","21820",1991,36778
"new.row.653","21820",1992,37763
"new.row.654","21820",1993,38295
"new.row.655","21820",1994,38183
"new.row.656","21820",1995,38456
"new.row.657","21820",1996,38720
"new.row.658","21820",1997,39573
"new.row.659","21820",1998,40595
"new.row.660","21820",1999,40575
"new.row.661","21820",2000,41637
"new.row.662","21820",2001,42166
"new.row.663","21820",2002,43613
"new.row.664","21820",2003,43796
"new.row.665","21820",2004,45155
"new.row.666","21820",2005,46018
"new.row.667","21820",2006,47438
"new.row.668","21820",2007,48140
"new.row.669","21820",2008,48222
"new.row.670","21820",2009,47796
"new.row.671","21820",2010,47567
"new.row.672","21820",2011,48967
"new.row.673","21820",2012,49089
"new.row.674","21820",2013,48013
"new.row.675","22380",1969,17264
"new.row.676","22380",1970,17680
"new.row.677","22380",1971,19024
"new.row.678","22380",1972,21143
"new.row.679","22380",1973,23188
"new.row.680","22380",1974,23631
"new.row.681","22380",1975,23732
"new.row.682","22380",1976,24113
"new.row.683","22380",1977,25831
"new.row.684","22380",1978,28374
"new.row.685","22380",1979,29474
"new.row.686","22380",1980,30273
"new.row.687","22380",1981,30785
"new.row.688","22380",1982,30416
"new.row.689","22380",1983,31540
"new.row.690","22380",1984,33459
"new.row.691","22380",1985,34862
"new.row.692","22380",1986,36417
"new.row.693","22380",1987,37807
"new.row.694","22380",1988,39062
"new.row.695","22380",1989,39418
"new.row.696","22380",1990,40645
"new.row.697","22380",1991,41287
"new.row.698","22380",1992,43097
"new.row.699","22380",1993,45120
"new.row.700","22380",1994,46968
"new.row.701","22380",1995,48987
"new.row.702","22380",1996,50643
"new.row.703","22380",1997,51072
"new.row.704","22380",1998,51480
"new.row.705","22380",1999,52754
"new.row.706","22380",2000,55014
"new.row.707","22380",2001,54769
"new.row.708","22380",2002,55485
"new.row.709","22380",2003,56332
"new.row.710","22380",2004,58858
"new.row.711","22380",2005,60215
"new.row.712","22380",2006,62004
"new.row.713","22380",2007,63527
"new.row.714","22380",2008,63076
"new.row.715","22380",2009,60165
"new.row.716","22380",2010,60277
"new.row.717","22380",2011,60786
"new.row.718","22380",2012,61861
"new.row.719","22380",2013,63523
"new.row.720","29420",1969,7056
"new.row.721","29420",1970,7183
"new.row.722","29420",1971,7775
"new.row.723","29420",1972,8336
"new.row.724","29420",1973,9288
"new.row.725","29420",1974,10499
"new.row.726","29420",1975,10900
"new.row.727","29420",1976,11422
"new.row.728","29420",1977,12209
"new.row.729","29420",1978,13661
"new.row.730","29420",1979,15704
"new.row.731","29420",1980,16492
"new.row.732","29420",1981,16544
"new.row.733","29420",1982,15190
"new.row.734","29420",1983,15506
"new.row.735","29420",1984,17296
"new.row.736","29420",1985,19144
"new.row.737","29420",1986,20440
"new.row.738","29420",1987,22683
"new.row.739","29420",1988,23868
"new.row.740","29420",1989,25475
"new.row.741","29420",1990,27973
"new.row.742","29420",1991,29493
"new.row.743","29420",1992,29965
"new.row.744","29420",1993,31822
"new.row.745","29420",1994,33728
"new.row.746","29420",1995,34593
"new.row.747","29420",1996,36021
"new.row.748","29420",1997,37075
"new.row.749","29420",1998,38241
"new.row.750","29420",1999,40144
"new.row.751","29420",2000,42560
"new.row.752","29420",2001,44184
"new.row.753","29420",2002,45777
"new.row.754","29420",2003,48768
"new.row.755","29420",2004,51084
"new.row.756","29420",2005,54835
"new.row.757","29420",2006,57320
"new.row.758","29420",2007,55672
"new.row.759","29420",2008,52530
"new.row.760","29420",2009,48399
"new.row.761","29420",2010,47142
"new.row.762","29420",2011,46872
"new.row.763","29420",2012,46314
"new.row.764","29420",2013,46979
"new.row.765","38060",1969,379787
"new.row.766","38060",1970,399576
"new.row.767","38060",1971,418075
"new.row.768","38060",1972,456014
"new.row.769","38060",1973,502880
"new.row.770","38060",1974,518210
"new.row.771","38060",1975,496685
"new.row.772","38060",1976,521477
"new.row.773","38060",1977,567239
"new.row.774","38060",1978,634980
"new.row.775","38060",1979,694655
"new.row.776","38060",1980,715750
"new.row.777","38060",1981,735433
"new.row.778","38060",1982,729299
"new.row.779","38060",1983,768042
"new.row.780","38060",1984,845928
"new.row.781","38060",1985,918522
"new.row.782","38060",1986,963206
"new.row.783","38060",1987,999299
"new.row.784","38060",1988,1030347
"new.row.785","38060",1989,1056411
"new.row.786","38060",1990,1076190
"new.row.787","38060",1991,1064254
"new.row.788","38060",1992,1079986
"new.row.789","38060",1993,1131834
"new.row.790","38060",1994,1201463
"new.row.791","38060",1995,1287793
"new.row.792","38060",1996,1374309
"new.row.793","38060",1997,1442811
"new.row.794","38060",1998,1516223
"new.row.795","38060",1999,1576929
"new.row.796","38060",2000,1630017
"new.row.797","38060",2001,1646414
"new.row.798","38060",2002,1646208
"new.row.799","38060",2003,1675195
"new.row.800","38060",2004,1737532
"new.row.801","38060",2005,1843932
"new.row.802","38060",2006,1942089
"new.row.803","38060",2007,1968552
"new.row.804","38060",2008,1916810
"new.row.805","38060",2009,1771336
"new.row.806","38060",2010,1731734
"new.row.807","38060",2011,1762197
"new.row.808","38060",2012,1809805
"new.row.809","38060",2013,1859980
"new.row.810","39140",1969,9037
"new.row.811","39140",1970,9584
"new.row.812","39140",1971,10642
"new.row.813","39140",1972,11537
"new.row.814","39140",1973,12679
"new.row.815","39140",1974,13221
"new.row.816","39140",1975,13020
"new.row.817","39140",1976,13823
"new.row.818","39140",1977,15230
"new.row.819","39140",1978,16352
"new.row.820","39140",1979,17682
"new.row.821","39140",1980,18529
"new.row.822","39140",1981,18941
"new.row.823","39140",1982,18447
"new.row.824","39140",1983,19206
"new.row.825","39140",1984,19875
"new.row.826","39140",1985,22188
"new.row.827","39140",1986,23924
"new.row.828","39140",1987,25279
"new.row.829","39140",1988,26430
"new.row.830","39140",1989,27929
"new.row.831","39140",1990,29429
"new.row.832","39140",1991,30797
"new.row.833","39140",1992,33394
"new.row.834","39140",1993,35981
"new.row.835","39140",1994,39691
"new.row.836","39140",1995,41624
"new.row.837","39140",1996,43304
"new.row.838","39140",1997,45702
"new.row.839","39140",1998,48101
"new.row.840","39140",1999,48925
"new.row.841","39140",2000,51329
"new.row.842","39140",2001,53316
"new.row.843","39140",2002,55148
"new.row.844","39140",2003,56222
"new.row.845","39140",2004,58646
"new.row.846","39140",2005,62420
"new.row.847","39140",2006,66925
"new.row.848","39140",2007,67676
"new.row.849","39140",2008,64750
"new.row.850","39140",2009,59474
"new.row.851","39140",2010,56984
"new.row.852","39140",2011,56212
"new.row.853","39140",2012,57452
"new.row.854","39140",2013,58625
"new.row.855","43420",1969,23516
"new.row.856","43420",1970,23141
"new.row.857","43420",1971,25171
"new.row.858","43420",1972,25975
"new.row.859","43420",1973,26606
"new.row.860","43420",1974,26761
"new.row.861","43420",1975,25424
"new.row.862","43420",1976,25476
"new.row.863","43420",1977,26465
"new.row.864","43420",1978,28028
"new.row.865","43420",1979,28192
"new.row.866","43420",1980,29068
"new.row.867","43420",1981,28493
"new.row.868","43420",1982,27980
"new.row.869","43420",1983,28689
