"","msa.fips","year","average.earnings.per.job"
"new.row.79","12220",2003,31236
"new.row.80","12220",2004,32569
"new.row.81","12220",2005,33150
"new.row.82","12220",2006,34135
"new.row.83","12220",2007,34502
"new.row.84","12220",2008,35496
"new.row.85","12220",2009,36087
"new.row.86","12220",2010,36786
"new.row.87","12220",2011,37226
"new.row.88","12220",2012,37582
"new.row.89","12220",2013,38016
"new.row.90","13820",1969,6377
"new.row.91","13820",1970,6738
"new.row.92","13820",1971,7247
"new.row.93","13820",1972,7848
"new.row.94","13820",1973,8508
"new.row.95","13820",1974,9293
"new.row.96","13820",1975,10179
"new.row.97","13820",1976,11127
"new.row.98","13820",1977,11970
"new.row.99","13820",1978,13086
"new.row.100","13820",1979,14223
"new.row.101","13820",1980,15383
"new.row.102","13820",1981,16610
"new.row.103","13820",1982,17560
"new.row.104","13820",1983,18507
"new.row.105","13820",1984,19612
"new.row.106","13820",1985,20629
"new.row.107","13820",1986,21253
"new.row.108","13820",1987,22004
"new.row.109","13820",1988,23211
"new.row.110","13820",1989,24383
"new.row.111","13820",1990,25676
"new.row.112","13820",1991,26843
"new.row.113","13820",1992,28382
"new.row.114","13820",1993,28872
"new.row.115","13820",1994,30194
"new.row.116","13820",1995,31139
"new.row.117","13820",1996,32348
"new.row.118","13820",1997,33138
"new.row.119","13820",1998,35180
"new.row.120","13820",1999,36992
"new.row.121","13820",2000,39262
"new.row.122","13820",2001,40629
"new.row.123","13820",2002,42313
"new.row.124","13820",2003,43466
"new.row.125","13820",2004,45062
"new.row.126","13820",2005,46085
"new.row.127","13820",2006,47465
"new.row.128","13820",2007,47865
"new.row.129","13820",2008,48858
"new.row.130","13820",2009,48863
"new.row.131","13820",2010,49840
"new.row.132","13820",2011,51466
"new.row.133","13820",2012,53025
"new.row.134","13820",2013,53848
"new.row.135","17980",1969,5879
"new.row.136","17980",1970,6375
"new.row.137","17980",1971,6880
"new.row.138","17980",1972,7422
"new.row.139","17980",1973,7899
"new.row.140","17980",1974,8469
"new.row.141","17980",1975,9088
"new.row.142","17980",1976,9776
"new.row.143","17980",1977,10431
"new.row.144","17980",1978,11310
"new.row.145","17980",1979,12101
"new.row.146","17980",1980,13010
"new.row.147","17980",1981,14363
"new.row.148","17980",1982,15157
"new.row.149","17980",1983,16100
"new.row.150","17980",1984,17084
"new.row.151","17980",1985,18017
"new.row.152","17980",1986,19014
"new.row.153","17980",1987,20026
"new.row.154","17980",1988,20868
"new.row.155","17980",1989,21594
"new.row.156","17980",1990,22872
"new.row.157","17980",1991,24343
"new.row.158","17980",1992,25816
"new.row.159","17980",1993,26084
"new.row.160","17980",1994,26869
"new.row.161","17980",1995,27483
"new.row.162","17980",1996,27848
"new.row.163","17980",1997,29134
"new.row.164","17980",1998,30476
"new.row.165","17980",1999,31903
"new.row.166","17980",2000,32767
"new.row.167","17980",2001,34669
"new.row.168","17980",2002,35848
"new.row.169","17980",2003,37539
"new.row.170","17980",2004,38320
"new.row.171","17980",2005,40104
"new.row.172","17980",2006,41745
"new.row.173","17980",2007,43237
"new.row.174","17980",2008,44381
"new.row.175","17980",2009,44792
"new.row.176","17980",2010,45518
"new.row.177","17980",2011,46314
"new.row.178","17980",2012,47783
"new.row.179","17980",2013,48109
"new.row.180","19300",1969,4026
"new.row.181","19300",1970,4315
"new.row.182","19300",1971,4788
"new.row.183","19300",1972,5246
"new.row.184","19300",1973,6162
"new.row.185","19300",1974,6560
"new.row.186","19300",1975,6888
"new.row.187","19300",1976,8094
"new.row.188","19300",1977,7871
"new.row.189","19300",1978,8794
"new.row.190","19300",1979,8938
"new.row.191","19300",1980,9566
"new.row.192","19300",1981,10523
"new.row.193","19300",1982,10445
"new.row.194","19300",1983,11402
"new.row.195","19300",1984,12115
"new.row.196","19300",1985,13312
"new.row.197","19300",1986,13811
"new.row.198","19300",1987,14232
"new.row.199","19300",1988,14447
"new.row.200","19300",1989,15111
"new.row.201","19300",1990,15880
"new.row.202","19300",1991,16890
"new.row.203","19300",1992,17988
"new.row.204","19300",1993,18794
"new.row.205","19300",1994,19472
"new.row.206","19300",1995,20147
"new.row.207","19300",1996,21447
"new.row.208","19300",1997,21802
"new.row.209","19300",1998,23508
"new.row.210","19300",1999,24941
"new.row.211","19300",2000,26255
"new.row.212","19300",2001,25967
"new.row.213","19300",2002,26855
"new.row.214","19300",2003,27772
"new.row.215","19300",2004,29051
"new.row.216","19300",2005,30127
"new.row.217","19300",2006,31740
"new.row.218","19300",2007,31526
"new.row.219","19300",2008,31459
"new.row.220","19300",2009,31351
"new.row.221","19300",2010,32157
"new.row.222","19300",2011,32837
"new.row.223","19300",2012,33326
"new.row.224","19300",2013,34243
"new.row.225","19460",1969,5949
"new.row.226","19460",1970,6382
"new.row.227","19460",1971,6664
"new.row.228","19460",1972,7130
"new.row.229","19460",1973,7864
"new.row.230","19460",1974,8262
"new.row.231","19460",1975,9373
"new.row.232","19460",1976,10243
"new.row.233","19460",1977,10920
"new.row.234","19460",1978,11809
"new.row.235","19460",1979,13141
"new.row.236","19460",1980,13708
"new.row.237","19460",1981,15120
"new.row.238","19460",1982,15788
"new.row.239","19460",1983,16516
"new.row.240","19460",1984,17902
"new.row.241","19460",1985,18577
"new.row.242","19460",1986,19182
"new.row.243","19460",1987,19831
"new.row.244","19460",1988,20696
"new.row.245","19460",1989,21637
"new.row.246","19460",1990,22068
"new.row.247","19460",1991,23719
"new.row.248","19460",1992,25032
"new.row.249","19460",1993,25607
"new.row.250","19460",1994,26549
"new.row.251","19460",1995,26500
"new.row.252","19460",1996,27528
"new.row.253","19460",1997,28477
"new.row.254","19460",1998,30380
"new.row.255","19460",1999,31639
"new.row.256","19460",2000,31584
"new.row.257","19460",2001,32933
"new.row.258","19460",2002,33590
"new.row.259","19460",2003,34969
"new.row.260","19460",2004,36676
"new.row.261","19460",2005,37308
"new.row.262","19460",2006,37798
"new.row.263","19460",2007,38479
"new.row.264","19460",2008,39778
"new.row.265","19460",2009,39675
"new.row.266","19460",2010,41074
"new.row.267","19460",2011,41112
"new.row.268","19460",2012,42278
"new.row.269","19460",2013,43296
"new.row.270","20020",1969,4326
"new.row.271","20020",1970,4683
"new.row.272","20020",1971,5145
"new.row.273","20020",1972,5788
"new.row.274","20020",1973,6904
"new.row.275","20020",1974,7384
"new.row.276","20020",1975,7881
"new.row.277","20020",1976,8977
"new.row.278","20020",1977,9403
"new.row.279","20020",1978,10487
"new.row.280","20020",1979,11147
"new.row.281","20020",1980,11671
"new.row.282","20020",1981,13567
"new.row.283","20020",1982,13859
"new.row.284","20020",1983,14365
"new.row.285","20020",1984,16066
"new.row.286","20020",1985,16477
"new.row.287","20020",1986,17186
"new.row.288","20020",1987,18128
"new.row.289","20020",1988,19349
"new.row.290","20020",1989,20279
"new.row.291","20020",1990,20653
"new.row.292","20020",1991,21771
"new.row.293","20020",1992,23173
"new.row.294","20020",1993,23313
"new.row.295","20020",1994,24468
"new.row.296","20020",1995,24988
"new.row.297","20020",1996,25264
"new.row.298","20020",1997,25422
"new.row.299","20020",1998,27281
"new.row.300","20020",1999,28537
"new.row.301","20020",2000,28889
"new.row.302","20020",2001,31112
"new.row.303","20020",2002,32546
"new.row.304","20020",2003,33195
"new.row.305","20020",2004,34437
"new.row.306","20020",2005,35619
"new.row.307","20020",2006,36419
"new.row.308","20020",2007,36343
"new.row.309","20020",2008,37064
"new.row.310","20020",2009,37658
"new.row.311","20020",2010,38750
"new.row.312","20020",2011,39124
"new.row.313","20020",2012,40089
"new.row.314","20020",2013,41477
"new.row.315","22520",1969,6202
"new.row.316","22520",1970,6558
"new.row.317","22520",1971,7159
"new.row.318","22520",1972,7640
"new.row.319","22520",1973,8241
"new.row.320","22520",1974,8861
"new.row.321","22520",1975,9516
"new.row.322","22520",1976,10817
"new.row.323","22520",1977,11612
"new.row.324","22520",1978,12702
"new.row.325","22520",1979,13785
"new.row.326","22520",1980,14786
"new.row.327","22520",1981,16208
"new.row.328","22520",1982,16757
"new.row.329","22520",1983,16765
"new.row.330","22520",1984,17493
"new.row.331","22520",1985,18180
"new.row.332","22520",1986,19018
"new.row.333","22520",1987,19523
"new.row.334","22520",1988,20409
"new.row.335","22520",1989,20721
"new.row.336","22520",1990,21738
"new.row.337","22520",1991,22331
"new.row.338","22520",1992,23695
"new.row.339","22520",1993,23952
"new.row.340","22520",1994,25311
"new.row.341","22520",1995,24999
"new.row.342","22520",1996,25897
"new.row.343","22520",1997,26363
"new.row.344","22520",1998,26828
"new.row.345","22520",1999,27832
"new.row.346","22520",2000,28325
"new.row.347","22520",2001,29200
"new.row.348","22520",2002,29903
"new.row.349","22520",2003,31355
"new.row.350","22520",2004,32428
"new.row.351","22520",2005,33036
"new.row.352","22520",2006,33871
"new.row.353","22520",2007,34137
"new.row.354","22520",2008,35263
"new.row.355","22520",2009,35847
"new.row.356","22520",2010,37463
"new.row.357","22520",2011,37840
"new.row.358","22520",2012,38534
"new.row.359","22520",2013,39689
"new.row.360","23460",1969,6464
"new.row.361","23460",1970,6614
"new.row.362","23460",1971,6936
"new.row.363","23460",1972,7714
"new.row.364","23460",1973,8293
"new.row.365","23460",1974,8899
"new.row.366","23460",1975,9567
"new.row.367","23460",1976,10439
"new.row.368","23460",1977,11619
"new.row.369","23460",1978,12815
"new.row.370","23460",1979,13977
"new.row.371","23460",1980,14862
"new.row.372","23460",1981,16538
"new.row.373","23460",1982,16612
"new.row.374","23460",1983,17652
"new.row.375","23460",1984,18554
"new.row.376","23460",1985,19011
"new.row.377","23460",1986,19492
"new.row.378","23460",1987,20776
"new.row.379","23460",1988,21760
"new.row.380","23460",1989,21856
"new.row.381","23460",1990,22043
"new.row.382","23460",1991,22223
"new.row.383","23460",1992,23957
"new.row.384","23460",1993,24239
"new.row.385","23460",1994,25732
"new.row.386","23460",1995,26050
"new.row.387","23460",1996,25710
"new.row.388","23460",1997,26218
"new.row.389","23460",1998,27429
"new.row.390","23460",1999,28260
"new.row.391","23460",2000,28807
"new.row.392","23460",2001,29369
"new.row.393","23460",2002,29784
"new.row.394","23460",2003,30911
"new.row.395","23460",2004,31955
"new.row.396","23460",2005,32495
"new.row.397","23460",2006,33377
"new.row.398","23460",2007,34151
"new.row.399","23460",2008,35080
"new.row.400","23460",2009,36314
"new.row.401","23460",2010,37329
"new.row.402","23460",2011,37146
"new.row.403","23460",2012,37550
"new.row.404","23460",2013,38072
"new.row.405","26620",1969,7729
"new.row.406","26620",1970,8348
"new.row.407","26620",1971,9249
"new.row.408","26620",1972,9655
"new.row.409","26620",1973,10079
"new.row.410","26620",1974,10531
"new.row.411","26620",1975,11117
"new.row.412","26620",1976,11997
"new.row.413","26620",1977,12592
"new.row.414","26620",1978,13433
"new.row.415","26620",1979,14746
"new.row.416","26620",1980,15966
"new.row.417","26620",1981,17612
"new.row.418","26620",1982,18823
"new.row.419","26620",1983,20120
"new.row.420","26620",1984,21913
"new.row.421","26620",1985,23297
"new.row.422","26620",1986,24394
"new.row.423","26620",1987,25396
"new.row.424","26620",1988,26971
"new.row.425","26620",1989,27882
"new.row.426","26620",1990,29131
"new.row.427","26620",1991,30596
"new.row.428","26620",1992,32799
"new.row.429","26620",1993,32803
"new.row.430","26620",1994,34232
"new.row.431","26620",1995,34615
"new.row.432","26620",1996,34688
"new.row.433","26620",1997,35496
"new.row.434","26620",1998,36988
"new.row.435","26620",1999,37774
"new.row.436","26620",2000,39575
"new.row.437","26620",2001,40575
"new.row.438","26620",2002,42327
"new.row.439","26620",2003,44372
"new.row.440","26620",2004,45403
"new.row.441","26620",2005,46969
"new.row.442","26620",2006,48916
"new.row.443","26620",2007,49355
"new.row.444","26620",2008,50943
"new.row.445","26620",2009,52724
"new.row.446","26620",2010,54798
"new.row.447","26620",2011,55802
"new.row.448","26620",2012,56230
"new.row.449","26620",2013,56633
"new.row.450","33660",1969,6068
"new.row.451","33660",1970,6473
"new.row.452","33660",1971,6871
"new.row.453","33660",1972,7325
"new.row.454","33660",1973,7861
"new.row.455","33660",1974,8651
"new.row.456","33660",1975,9512
"new.row.457","33660",1976,10492
"new.row.458","33660",1977,11240
"new.row.459","33660",1978,12198
"new.row.460","33660",1979,13227
"new.row.461","33660",1980,14547
"new.row.462","33660",1981,15864
"new.row.463","33660",1982,16757
"new.row.464","33660",1983,17519
"new.row.465","33660",1984,18169
"new.row.466","33660",1985,19303
"new.row.467","33660",1986,20137
"new.row.468","33660",1987,20758
"new.row.469","33660",1988,21553
"new.row.470","33660",1989,22665
"new.row.471","33660",1990,23664
"new.row.472","33660",1991,24907
"new.row.473","33660",1992,26198
"new.row.474","33660",1993,26478
"new.row.475","33660",1994,27564
"new.row.476","33660",1995,27806
"new.row.477","33660",1996,28697
"new.row.478","33660",1997,29580
"new.row.479","33660",1998,31435
"new.row.480","33660",1999,32000
"new.row.481","33660",2000,32620
"new.row.482","33660",2001,33901
"new.row.483","33660",2002,34556
"new.row.484","33660",2003,35156
"new.row.485","33660",2004,36429
"new.row.486","33660",2005,37842
"new.row.487","33660",2006,40277
"new.row.488","33660",2007,40294
"new.row.489","33660",2008,41785
"new.row.490","33660",2009,42914
"new.row.491","33660",2010,44011
"new.row.492","33660",2011,44904
"new.row.493","33660",2012,45801
"new.row.494","33660",2013,46386
"new.row.495","33860",1969,5650
"new.row.496","33860",1970,6111
"new.row.497","33860",1971,6732
"new.row.498","33860",1972,7442
"new.row.499","33860",1973,8098
"new.row.500","33860",1974,8714
"new.row.501","33860",1975,9295
"new.row.502","33860",1976,10298
"new.row.503","33860",1977,10825
"new.row.504","33860",1978,11822
"new.row.505","33860",1979,12843
"new.row.506","33860",1980,13846
"new.row.507","33860",1981,15005
"new.row.508","33860",1982,15957
"new.row.509","33860",1983,17086
"new.row.510","33860",1984,18224
"new.row.511","33860",1985,19421
"new.row.512","33860",1986,20250
"new.row.513","33860",1987,21233
"new.row.514","33860",1988,22033
"new.row.515","33860",1989,22785
"new.row.516","33860",1990,23745
"new.row.517","33860",1991,24992
"new.row.518","33860",1992,26091
"new.row.519","33860",1993,26646
"new.row.520","33860",1994,27955
"new.row.521","33860",1995,28027
"new.row.522","33860",1996,28798
"new.row.523","33860",1997,29664
"new.row.524","33860",1998,31377
"new.row.525","33860",1999,32797
"new.row.526","33860",2000,34126
"new.row.527","33860",2001,36057
"new.row.528","33860",2002,37790
"new.row.529","33860",2003,39547
"new.row.530","33860",2004,40910
"new.row.531","33860",2005,41724
"new.row.532","33860",2006,43171
"new.row.533","33860",2007,42517
"new.row.534","33860",2008,43444
"new.row.535","33860",2009,44313
"new.row.536","33860",2010,45362
"new.row.537","33860",2011,46100
"new.row.538","33860",2012,46570
"new.row.539","33860",2013,47163
"new.row.540","46220",1969,5467
"new.row.541","46220",1970,5857
"new.row.542","46220",1971,6437
"new.row.543","46220",1972,6888
"new.row.544","46220",1973,7468
"new.row.545","46220",1974,8194
"new.row.546","46220",1975,8993
"new.row.547","46220",1976,9689
"new.row.548","46220",1977,10859
"new.row.549","46220",1978,12097
"new.row.550","46220",1979,13045
"new.row.551","46220",1980,13497
"new.row.552","46220",1981,14718
"new.row.553","46220",1982,15683
"new.row.554","46220",1983,16554
"new.row.555","46220",1984,17993
"new.row.556","46220",1985,19097
"new.row.557","46220",1986,19310
"new.row.558","46220",1987,20376
"new.row.559","46220",1988,20737
"new.row.560","46220",1989,21733
"new.row.561","46220",1990,22940
"new.row.562","46220",1991,23998
"new.row.563","46220",1992,25328
"new.row.564","46220",1993,25901
"new.row.565","46220",1994,26744
"new.row.566","46220",1995,27375
"new.row.567","46220",1996,27628
"new.row.568","46220",1997,28450
"new.row.569","46220",1998,30118
"new.row.570","46220",1999,32211
"new.row.571","46220",2000,32705
"new.row.572","46220",2001,35145
"new.row.573","46220",2002,35372
"new.row.574","46220",2003,36618
"new.row.575","46220",2004,37983
"new.row.576","46220",2005,39938
"new.row.577","46220",2006,41039
"new.row.578","46220",2007,41224
"new.row.579","46220",2008,42622
"new.row.580","46220",2009,43218
"new.row.581","46220",2010,44946
"new.row.582","46220",2011,45878
"new.row.583","46220",2012,46420
"new.row.584","46220",2013,47340
"new.row.585","11260",1969,10354
"new.row.586","11260",1970,11164
"new.row.587","11260",1971,11943
"new.row.588","11260",1972,12506
"new.row.589","11260",1973,12935
"new.row.590","11260",1974,14489
"new.row.591","11260",1975,16890
"new.row.592","11260",1976,19066
"new.row.593","11260",1977,20626
"new.row.594","11260",1978,20345
"new.row.595","11260",1979,21045
"new.row.596","11260",1980,23399
"new.row.597","11260",1981,26213
"new.row.598","11260",1982,27621
"new.row.599","11260",1983,28823
"new.row.600","11260",1984,30143
"new.row.601","11260",1985,30861
"new.row.602","11260",1986,31617
"new.row.603","11260",1987,29945
"new.row.604","11260",1988,30276
"new.row.605","11260",1989,31641
"new.row.606","11260",1990,33097
"new.row.607","11260",1991,33864
"new.row.608","11260",1992,35705
"new.row.609","11260",1993,36703
"new.row.610","11260",1994,37120
"new.row.611","11260",1995,37015
"new.row.612","11260",1996,37377
"new.row.613","11260",1997,38971
"new.row.614","11260",1998,39661
"new.row.615","11260",1999,40951
"new.row.616","11260",2000,42337
"new.row.617","11260",2001,45636
"new.row.618","11260",2002,47602
"new.row.619","11260",2003,49536
"new.row.620","11260",2004,51419
"new.row.621","11260",2005,53064
"new.row.622","11260",2006,54517
"new.row.623","11260",2007,55853
"new.row.624","11260",2008,58198
"new.row.625","11260",2009,60271
"new.row.626","11260",2010,62640
"new.row.627","11260",2011,65042
"new.row.628","11260",2012,66945
"new.row.629","11260",2013,68563
"new.row.630","21820",1969,9664
"new.row.631","21820",1970,10708
"new.row.632","21820",1971,11764
"new.row.633","21820",1972,12584
"new.row.634","21820",1973,13514
"new.row.635","21820",1974,18008
"new.row.636","21820",1975,24534
"new.row.637","21820",1976,25770
"new.row.638","21820",1977,23991
"new.row.639","21820",1978,22218
"new.row.640","21820",1979,22847
"new.row.641","21820",1980,24857
"new.row.642","21820",1981,27071
"new.row.643","21820",1982,29055
"new.row.644","21820",1983,30218
"new.row.645","21820",1984,30336
"new.row.646","21820",1985,30837
"new.row.647","21820",1986,30172
"new.row.648","21820",1987,28210
"new.row.649","21820",1988,28029
"new.row.650","21820",1989,28856
"new.row.651","21820",1990,30193
"new.row.652","21820",1991,30776
"new.row.653","21820",1992,32825
"new.row.654","21820",1993,32867
"new.row.655","21820",1994,32966
"new.row.656","21820",1995,34045
"new.row.657","21820",1996,34303
"new.row.658","21820",1997,34971
"new.row.659","21820",1998,35892
"new.row.660","21820",1999,37009
"new.row.661","21820",2000,38607
"new.row.662","21820",2001,39361
"new.row.663","21820",2002,41599
"new.row.664","21820",2003,44217
"new.row.665","21820",2004,45866
"new.row.666","21820",2005,48656
"new.row.667","21820",2006,51353
"new.row.668","21820",2007,51664
"new.row.669","21820",2008,54321
"new.row.670","21820",2009,56845
"new.row.671","21820",2010,59136
"new.row.672","21820",2011,61473
"new.row.673","21820",2012,62621
"new.row.674","21820",2013,63131
"new.row.675","22380",1969,6593
"new.row.676","22380",1970,6722
"new.row.677","22380",1971,7610
"new.row.678","22380",1972,8772
"new.row.679","22380",1973,9673
"new.row.680","22380",1974,9842
"new.row.681","22380",1975,10509
"new.row.682","22380",1976,10704
"new.row.683","22380",1977,10960
"new.row.684","22380",1978,11958
"new.row.685","22380",1979,12477
"new.row.686","22380",1980,13600
"new.row.687","22380",1981,14416
"new.row.688","22380",1982,14906
"new.row.689","22380",1983,15515
"new.row.690","22380",1984,16299
"new.row.691","22380",1985,17044
"new.row.692","22380",1986,18238
"new.row.693","22380",1987,18719
"new.row.694","22380",1988,19594
"new.row.695","22380",1989,19728
"new.row.696","22380",1990,20783
"new.row.697","22380",1991,21742
"new.row.698","22380",1992,23020
"new.row.699","22380",1993,23336
"new.row.700","22380",1994,23880
"new.row.701","22380",1995,24092
"new.row.702","22380",1996,24791
"new.row.703","22380",1997,25952
"new.row.704","22380",1998,26585
"new.row.705","22380",1999,27822
"new.row.706","22380",2000,28712
"new.row.707","22380",2001,29433
"new.row.708","22380",2002,30665
"new.row.709","22380",2003,31456
"new.row.710","22380",2004,32044
"new.row.711","22380",2005,33593
"new.row.712","22380",2006,35642
"new.row.713","22380",2007,36872
"new.row.714","22380",2008,37813
"new.row.715","22380",2009,38055
"new.row.716","22380",2010,38185
"new.row.717","22380",2011,39379
"new.row.718","22380",2012,40063
"new.row.719","22380",2013,41129
"new.row.720","29420",1969,7302
"new.row.721","29420",1970,7261
"new.row.722","29420",1971,7637
"new.row.723","29420",1972,8035
"new.row.724","29420",1973,8729
"new.row.725","29420",1974,8755
"new.row.726","29420",1975,9752
"new.row.727","29420",1976,9717
"new.row.728","29420",1977,10389
"new.row.729","29420",1978,11395
"new.row.730","29420",1979,12465
"new.row.731","29420",1980,12874
"new.row.732","29420",1981,13283
"new.row.733","29420",1982,13368
"new.row.734","29420",1983,14126
"new.row.735","29420",1984,14904
"new.row.736","29420",1985,15410
"new.row.737","29420",1986,16129
"new.row.738","29420",1987,16675
"new.row.739","29420",1988,17264
"new.row.740","29420",1989,18054
"new.row.741","29420",1990,19257
"new.row.742","29420",1991,19761
"new.row.743","29420",1992,20926
"new.row.744","29420",1993,21812
"new.row.745","29420",1994,22263
"new.row.746","29420",1995,22425
"new.row.747","29420",1996,22861
"new.row.748","29420",1997,24354
"new.row.749","29420",1998,25724
"new.row.750","29420",1999,27140
"new.row.751","29420",2000,28267
"new.row.752","29420",2001,29107
"new.row.753","29420",2002,30413
"new.row.754","29420",2003,30626
"new.row.755","29420",2004,31120
"new.row.756","29420",2005,32274
"new.row.757","29420",2006,34290
"new.row.758","29420",2007,34664
"new.row.759","29420",2008,36246
"new.row.760","29420",2009,35609
"new.row.761","29420",2010,36478
"new.row.762","29420",2011,36948
"new.row.763","29420",2012,38126
"new.row.764","29420",2013,38856
"new.row.765","38060",1969,7184
"new.row.766","38060",1970,7642
"new.row.767","38060",1971,8253
"new.row.768","38060",1972,8746
"new.row.769","38060",1973,9263
"new.row.770","38060",1974,10027
"new.row.771","38060",1975,10418
"new.row.772","38060",1976,11319
"new.row.773","38060",1977,11984
"new.row.774","38060",1978,12944
"new.row.775","38060",1979,14353
"new.row.776","38060",1980,15655
"new.row.777","38060",1981,16997
"new.row.778","38060",1982,17651
"new.row.779","38060",1983,18473
"new.row.780","38060",1984,19374
"new.row.781","38060",1985,20135
"new.row.782","38060",1986,21136
"new.row.783","38060",1987,22086
"new.row.784","38060",1988,23124
"new.row.785","38060",1989,23630
"new.row.786","38060",1990,24482
"new.row.787","38060",1991,25916
"new.row.788","38060",1992,27671
"new.row.789","38060",1993,28560
"new.row.790","38060",1994,29614
"new.row.791","38060",1995,30629
"new.row.792","38060",1996,31824
"new.row.793","38060",1997,33052
"new.row.794","38060",1998,35296
"new.row.795","38060",1999,36855
"new.row.796","38060",2000,39328
"new.row.797","38060",2001,40867
"new.row.798","38060",2002,41574
"new.row.799","38060",2003,42159
"new.row.800","38060",2004,43969
"new.row.801","38060",2005,45441
"new.row.802","38060",2006,48141
"new.row.803","38060",2007,48768
"new.row.804","38060",2008,49139
"new.row.805","38060",2009,48263
"new.row.806","38060",2010,49208
"new.row.807","38060",2011,50569
"new.row.808","38060",2012,52129
"new.row.809","38060",2013,52742
"new.row.810","39140",1969,6270
"new.row.811","39140",1970,6659
"new.row.812","39140",1971,7147
"new.row.813","39140",1972,7990
"new.row.814","39140",1973,8567
"new.row.815","39140",1974,8575
"new.row.816","39140",1975,9646
"new.row.817","39140",1976,10133
"new.row.818","39140",1977,10737
"new.row.819","39140",1978,11356
"new.row.820","39140",1979,11923
"new.row.821","39140",1980,12880
"new.row.822","39140",1981,13731
"new.row.823","39140",1982,13938
"new.row.824","39140",1983,14554
"new.row.825","39140",1984,14966
"new.row.826","39140",1985,15031
"new.row.827","39140",1986,15605
"new.row.828","39140",1987,15999
"new.row.829","39140",1988,16461
"new.row.830","39140",1989,16722
"new.row.831","39140",1990,17395
"new.row.832","39140",1991,18402
"new.row.833","39140",1992,19517
"new.row.834","39140",1993,20375
"new.row.835","39140",1994,20833
"new.row.836","39140",1995,21317
"new.row.837","39140",1996,21863
"new.row.838","39140",1997,22847
"new.row.839","39140",1998,23729
"new.row.840","39140",1999,26118
"new.row.841","39140",2000,26407
"new.row.842","39140",2001,26889
"new.row.843","39140",2002,27785
"new.row.844","39140",2003,28705
"new.row.845","39140",2004,29577
"new.row.846","39140",2005,30814
"new.row.847","39140",2006,32617
"new.row.848","39140",2007,33020
"new.row.849","39140",2008,34419
"new.row.850","39140",2009,33545
"new.row.851","39140",2010,33766
"new.row.852","39140",2011,34013
"new.row.853","39140",2012,34732
"new.row.854","39140",2013,35556
"new.row.855","43420",1969,7417
"new.row.856","43420",1970,8028
"new.row.857","43420",1971,8987
"new.row.858","43420",1972,9665
"new.row.859","43420",1973,10399
"new.row.860","43420",1974,10903
"new.row.861","43420",1975,11491
"new.row.862","43420",1976,12407
"new.row.863","43420",1977,12787
"new.row.864","43420",1978,13605
"new.row.865","43420",1979,14095
"new.row.866","43420",1980,15107
"new.row.867","43420",1981,16769
"new.row.868","43420",1982,17547
"new.row.869","43420",1983,18622
"new.row.870","43420",1984,19731
"new.row.871","43420",1985,19588
